date;BEN;CO;MXIL;NO2;NO;O3;PM2_5;SO2;TOL
2018-12-05;3.3210860194477516;;3.1938563929097366;;2.10515842771973;;;;2.8239598868143787
2018-12-06;3.665612781663819;;2.7844542515385204;;;;;;2.6657458781936167
2018-12-07;2.323771707769663;;2.109206563822358;;;;;;2.5783118207979334
2018-12-08;2.396303657709888;;2.109206563822358;;;;;;2.324336701696184
2018-12-10;3.194155107052359;;2.646214567439148;;2.20264526569985;;;;2.7365258294186945
2018-12-11;5.660241405019997;;4.438013549804082;2.6568284748667375;4.022399574662095;;3.869117527298484;3.0973136848819487;4.048036690353954
2018-12-12;3.484282906813257;;;;;;;2.9132993326831778;2.1786132727033776
2018-12-14;;;;2.114620908994704;;;;;
2018-12-17;2.976559257231685;;3.2895607895939167;2.811744922258747;2.3326277163400104;;;;2.8156328337290755
2018-12-20;4.354666306095953;;4.422062817023385;3.741243606610805;4.379851313922536;;2.0008684447836367;2.545270628285636;3.943948526787664
2018-12-21;7.8543328907117935;3.943657252157158;9.7389737439223;5.290408080530901;9.28668882558859;;4.269456616408808;2.1772419238880936;8.05334922438481
2018-12-22;4.69919306831202;;4.863366423955996;2.114620908994704;3.339991708801253;;2.1343148078204117;;4.506024610045632
2018-12-23;3.7200117441189877;;2.7472358750502277;;2.0401672023996498;;;2.1772419238880936;2.5033683430302043
2018-12-24;4.953054893102807;;5.017556840836064;;3.957408349342015;;3.068439349077835;2.1772419238880936;3.294438386134011
2018-12-25;4.100804481305167;;2.8748417372958017;;;;3.2018857121146103;;2.374299020208004
2018-12-26;6.276762979511906;2.2403919858216765;5.13452888122784;2.811744922258747;6.427074911505062;;4.536349342482358;2.1772419238880936;4.814125574201852
2018-12-27;4.753592030767189;;4.081780517701856;2.3469955800827185;3.632452222741614;;2.9349929860410606;3.28132803708072;3.5484135052357604
2018-12-28;3.7925436940592125;;3.6457938216961443;2.1920791326907088;2.0076715897396094;;2.9349929860410606;4.017385445875804;3.0404632670322624
2018-12-29;2.6501654825006735;;;;;;;;
2018-12-30;2.0155109205237087;;;;;;2.2677611708571863;;
2018-12-31;3.2666870569925837;;;;2.265036842007127;;3.351345638715798;;
2019-01-01;;;;;;;2.665431332706775;;
2019-01-03;;;;;2.0447165881720553;;;;
2019-01-04;2.5413675575903363;;2.0719881873340653;2.601833136042574;4.152382025302256;;3.7983909548889936;;
2019-01-05;3.212288094537415;;2.0028683452843796;2.3500939090305586;3.0920501842051475;;5.208919012187703;;
2019-01-06;2.1243088454340455;;;;;;3.6195728284197157;;
2019-01-07;2.396303657709888;;;;;;3.862445209146646;;
2019-01-08;2.8133623698661796;;2.1357911184568525;2.0503305833270202;2.4518866148023575;;2.8495873136975245;;
2019-01-09;2.1243088454340455;;;2.278832343230234;;;;;
2019-01-11;2.5232345701052807;;;2.7637208235672244;3.2438046953275346;;2.5786911967328714;;2.087015688765042
2019-01-12;2.8677613323213476;;;;;;;;
2019-01-13;2.4325696326800004;;;;;;;;
2019-01-15;2.777096394896067;;2.470756506851484;;2.6533594132946066;;;;2.174449746160726
2019-01-18;;;;2.066596810303181;;;;;
2019-01-23;;;;;;;;2.690641966522665;
2019-01-24;;;;;;;;4.937457206869659;
2019-01-25;;;;;;;;5.191397012903964;
2019-01-26;;;;;;;;3.78000693153939;
2019-01-27;;;;;;;;2.828652730671743;
2019-01-30;;;;2.4244538037787233;;;;;
2019-02-04;2.3056387202846067;;3.156638016421444;3.3570508170786213;3.1745890403616492;;;2.4919064661479924;2.39095312637861
2019-02-05;;;2.598362369097058;;;;;;2.499204816487552
2019-02-08;2.831495357351235;;3.465018850181581;2.469379573522406;2.4125669234837086;;;5.566786291389457;3.652501668802051
2019-02-09;2.559500545075393;;2.2740308025562244;;;;;3.627275019214409;3.3527277577311336
2019-02-12;3.665612781663819;;;;;;;;2.220248538129894
2019-02-13;5.823438292385502;2.0943978201357782;2.7366020531964295;2.201374119534229;2.370647583152257;;;5.927454421699048;4.227068331687974
2019-02-14;4.028272531364943;3.4083453113088633;6.208544888461422;2.8597690209502704;3.0407071162022836;;3.075111667229674;6.762879580681469;4.701710357550258
2019-02-15;6.041034142206176;2.678374482879372;5.315303852742402;3.5568930342143137;4.783121867033634;;3.7930531003675227;6.087546908111979;6.3296492357270395
2019-02-16;4.662927093341908;3.2136864237276663;3.3746313644242996;2.8504740341067496;2.4164663970029134;;4.336179797927196;7.535739859916307;5.58021445804975
2019-02-17;3.6112138192086505;;;;;;2.648083305511995;5.029464382969045;2.7490164090466496
2019-02-21;;;;2.6297180965731357;2.8623062026986634;;2.307795079768219;;
2019-02-22;;;2.3271999118252134;3.2408634815346145;3.2126089071738955;;3.25526425732932;;2.6782364578215723
2019-02-23;;;;;;;2.8669353408923057;;2.216085011587242
2019-02-24;;;;;;;2.7695194958754596;;
2019-02-25;3.1578891320822464;;;2.7342866985627423;2.3732472321650606;;2.7174754142911173;2.0778741737007573;3.3360736515605276
