date;BEN;CO;MXIL;NO2;NO;O3;PM2_5;SO2;TOL
2017-09-10;0.48;0.4;0.29;14;4;35;4;7;0.68
2017-09-11;0.33;0.37;0.27;10;4;46;5;6;0.43
2017-09-12;0.43;0.41;0.28;18;7;24;5;9;0.66
2017-09-13;0.46;0.41;0.37;15;15;19;5;9;0.96
2017-09-14;0.4;0.37;0.26;14;4;41;4;7;0.66
2017-09-15;0.44;0.41;0.29;18;8;24;3;7;0.73
2017-09-16;0.5;0.42;0.38;16;6;27;3;7;1.02
2017-09-17;0.37;0.39;0.26;11;3;36;3;7;0.56
2017-09-18;0.43;0.42;0.36;14;10;25;5;8;0.88
2017-09-19;0.38;0.42;0.28;14;9;26;5;8;0.92
2017-09-20;0.55;0.81;0.65;14;10;16;11;18;2.35
2017-09-21;0.41;0.49;0.42;17;16;32;7;8;1.2
2017-09-22;0.26;0.36;0.25;13;4;47;4;7;0.38
2017-09-23;0.56;0.5;0.37;20;13;25;8;8;1.34
2017-09-24;0.43;0.49;0.26;15;8;36;11;9;0.63
2017-09-25;0.37;0.45;0.27;16;9;30;5;7;0.8
2017-09-26;0.41;0.6;0.42;25;14;19;7;9;1.52
2017-09-27;0.58;0.47;0.74;35;35;20;6;10;2.03
2017-09-28;0.55;0.64;0.75;35;30;18;7;13;2.08
2017-09-29;0.6;0.47;0.47;26;28;30;9;11;1.54
2017-09-30;0.58;0.39;0.32;24;12;42;3;8;0.69
2017-10-01;0.49;0.38;0.26;19;10;23;5;7;0.61
2017-10-02;0.46;0.53;0.31;27;15;18;8;8;1.16
2017-10-03;0.37;0.38;0.28;19;12;18;6;6;0.83
2017-10-04;0.33;0.34;0.26;18;13;22;6;4;0.88
2017-10-05;0.33;0.36;0.29;21;11;37;5;6;0.73
2017-10-06;0.32;0.33;0.26;19;11;42;6;6;0.5
2017-10-07;0.43;0.5;0.29;26;12;33;8;6;0.76
2017-10-08;0.55;0.6;0.3;26;19;27;10;8;1.2
2017-10-09;0.53;0.54;0.38;33;31;22;11;7;1.48
2017-10-10;0.62;0.64;0.64;39;43;15;11;11;2.47
2017-10-11;0.68;0.45;0.62;43;52;25;8;7;2.43
2017-10-12;0.75;0.84;0.7;33;33;17;16;10;2.25
2017-10-13;0.73;0.51;0.43;38;38;20;23;9;1.65
2017-10-14;0.82;0.86;0.7;46;29;17;24;16;1.84
2017-10-15;1.38;0.75;2.63;57;85;8;20;10;6.14
2017-10-16;0.73;0.45;0.66;36;22;37;26;6;2.08
2017-10-17;0.98;0.57;0.36;40;32;12;22;6;1.59
2017-10-18;0.81;0.57;1.11;38;40;10;13;9;1.81
2017-10-19;0.62;0.49;0.63;41;42;10;5;7;1.94
2017-10-20;0.74;0.49;1.27;38;62;21;7;6;2.98
2017-10-21;0.4;0.33;0.27;21;11;48;4;6;0.55
2017-10-22;0.46;0.35;0.3;23;12;33;6;6;0.63
2017-10-23;0.66;0.61;0.5;41;37;14;10;16;1.57
2017-10-24;1.05;0.59;1.6;61;95;9;8;11;3.78
2017-10-25;0.9;0.79;1.64;59;77;9;9;18;3.79
2017-10-26;0.86;0.56;1.24;54;79;18;8;15;3.3
2017-10-27;0.57;0.49;0.71;41;55;20;13;10;2.29
2017-10-28;0.32;0.3;0.25;22;8;39;10;5;0.84
2017-10-29;0.33;0.32;0.25;19;8;40;8;4;0.58
2017-10-30;0.3;0.31;0.25;24;10;36;3;5;0.42
2017-10-31;0.58;0.44;0.58;40;55;17;6;9;1.74
2017-11-01;1.16;0.72;1.61;48;74;4;7;17;4.1
2017-11-02;1.02;0.63;1.09;52;74;5;11;10;3.47
