date;NO;fda_NO
2018-03-14;19.0;0
2018-03-15;34.0;0
2018-03-16;28.0;0
2018-03-17;8.0;0
2018-03-18;6.0;0
2018-03-19;11.0;0
2018-03-20;11.0;0
2018-03-21;13.0;0
2018-03-22;25.0;0
2018-03-23;18.0;0
2018-03-24;7.0;0
2018-03-25;8.0;0
2018-03-26;23.0;0
2018-03-27;20.0;0
2018-03-28;21.0;0
2018-03-29;7.0;0
2018-03-30;7.0;0
2018-03-31;7.0;0
2018-04-01;20.0;0
2018-04-02;34.0;0
2018-04-03;10.0;0
2018-04-04;18.0;0
2018-04-05;18.0;0
2018-04-06;37.0;0
2018-04-07;6.0;0
2018-04-08;10.0;0
2018-04-09;11.0;0
2018-04-10;8.0;0
2018-04-11;12.0;0
2018-04-12;27.0;0
2018-04-13;15.0;0
2018-04-14;7.0;0
2018-04-15;3.0;0
2018-04-16;17.0;0
2018-04-17;26.0;0
2018-04-18;21.0;0
2018-04-19;12.0;0
2018-04-20;4.0;0
2018-04-21;23.0;0
2018-04-22;6.0;0
2018-04-23;4.0;0
2018-04-24;4.0;0
2018-04-25;4.0;0
2018-04-26;4.0;0
2018-04-27;9.0;0
2018-04-28;4.0;0
2018-04-29;4.0;0
2018-04-30;11.0;0
2018-05-01;3.0;0
2018-05-02;17.0;0
2018-05-03;8.0;0
2018-05-04;8.0;0
2018-05-05;6.0;0
2018-05-06;4.0;0
2018-05-07;21.0;1
2018-05-08;3.0;1
2018-05-09;5.0;1
2018-05-10;3.0;1
2018-05-11;17.0;1
2018-05-12;4.0;1
2018-05-13;4.0;1
2018-05-14;5.0;0
2018-05-15;9.0;0
2018-05-16;6.0;0
2018-05-17;4.0;0
2018-05-18;3.0;0
2018-05-19;2.0;0
2018-05-20;2.0;0
2018-05-21;10.0;0
2018-05-22;7.0;0
2018-05-23;4.0;0
2018-05-24;5.0;0
2018-05-25;4.0;0
2018-05-26;4.0;0
2018-05-27;2.0;0
2018-05-28;5.0;0
2018-05-29;7.0;0
2018-05-30;12.0;0
2018-05-31;4.0;0
2018-06-01;7.0;0
2018-06-02;7.0;0
2018-06-03;2.0;0
2018-06-04;7.0;0
2018-06-05;10.0;0
2018-06-06;10.0;0
2018-06-07;4.0;0
2018-06-08;8.0;0
2018-06-09;5.0;0
2018-06-10;4.0;0
2018-06-11;7.0;0
2018-06-12;6.0;0
2018-06-13;7.0;0
2018-06-14;9.0;0
2018-06-15;9.0;0
2018-06-16;3.0;0
2018-06-17;2.0;0
2018-06-18;9.0;0
2018-06-19;4.0;0
2018-06-20;7.0;0
2018-06-21;5.0;0
2018-06-22;3.0;0
2018-06-23;2.0;0
2018-06-24;3.0;0
2018-06-25;13.0;0
2018-06-26;4.0;0
2018-06-27;5.0;0
2018-06-28;6.0;0
2018-06-29;5.0;0
2018-06-30;3.0;0
2018-07-01;3.0;0
2018-07-02;8.0;0
2018-07-03;4.0;0
2018-07-04;6.0;0
2018-07-05;9.0;0
2018-07-06;3.0;0
2018-07-07;3.0;0
2018-07-08;2.0;0
2018-07-09;7.0;0
2018-07-10;3.0;0
2018-07-11;6.0;0
2018-07-12;8.0;0
2018-07-13;5.0;0
2018-07-14;3.0;0
2018-07-15;2.0;0
2018-07-16;4.0;0
2018-07-17;4.0;0
2018-07-18;11.0;0
2018-07-19;3.0;0
2018-07-20;9.0;0
2018-07-21;9.0;0
2018-07-22;4.0;0
2018-07-23;6.0;0
2018-07-24;5.0;0
2018-07-25;5.0;0
2018-07-26;8.0;0
2018-07-27;8.0;0
2018-07-28;5.0;0
2018-07-29;4.0;0
2018-07-30;11.0;0
2018-07-31;3.0;0
2018-08-01;5.0;0
2018-08-02;4.0;0
2018-08-03;18.0;0
2018-08-04;3.0;0
2018-08-05;2.0;0
2018-08-06;9.0;0
2018-08-07;4.0;0
2018-08-08;5.0;0
2018-08-09;6.0;0
2018-08-10;13.0;0
2018-08-11;7.0;0
2018-08-12;5.0;0
2018-08-13;4.0;1
2018-08-14;5.0;1
2018-08-15;2.0;1
2018-08-16;3.0;1
2018-08-17;3.0;1
2018-08-18;8.0;1
2018-08-19;6.0;1
2018-08-20;7.0;0
2018-08-21;3.0;0
2018-08-22;3.0;0
2018-08-23;3.0;0
2018-08-24;4.0;0
2018-08-25;2.0;0
2018-08-26;5.0;0
2018-08-27;16.0;0
2018-08-28;6.0;0
2018-08-29;4.0;0
2018-08-30;6.0;0
2018-08-31;12.0;0
2018-09-01;7.0;0
2018-09-02;4.0;0
2018-09-03;7.0;0
2018-09-04;18.0;0
2018-09-05;7.0;0
2018-09-06;7.0;0
2018-09-07;4.0;0
2018-09-08;11.0;0
2018-09-09;3.0;0
2018-09-10;7.0;0
2018-09-11;10.0;0
2018-09-12;14.0;0
2018-09-13;5.0;0
2018-09-14;6.0;0
2018-09-15;5.0;0
2018-09-16;3.0;0
2018-09-17;18.0;0
2018-09-18;18.0;0
2018-09-19;11.0;0
2018-09-20;18.0;0
2018-09-21;11.0;0
2018-09-22;8.0;0
2018-09-23;4.0;0
2018-09-24;3.0;0
2018-09-25;19.0;0
2018-09-26;32.0;0
2018-09-27;21.0;0
2018-09-28;4.0;0
2018-09-29;3.0;0
2018-09-30;2.0;0
2018-10-01;5.0;0
2018-10-02;21.0;0
2018-10-03;32.0;0
2018-10-04;62.0;0
2018-10-05;27.0;0
2018-10-06;10.0;0
2018-10-07;15.0;0
2018-10-08;22.0;0
2018-10-09;27.0;0
2018-10-10;78.0;0
2018-10-11;26.0;0
2018-10-12;9.0;0
2018-10-13;15.0;0
2018-10-14;7.0;0
2018-10-15;21.0;0
2018-10-16;25.0;0
2018-10-17;20.0;0
2018-10-18;8.0;0
2018-10-19;20.0;0
2018-10-20;10.0;0
2018-10-21;7.0;0
2018-10-22;5.0;0
2018-10-23;28.0;0
2018-10-24;27.0;0
2018-10-25;53.0;0
2018-10-26;30.0;0
2018-10-27;7.0;0
2018-10-28;6.0;0
2018-10-29;26.0;0
2018-10-30;59.0;0
2018-10-31;30.0;0
2018-11-01;12.0;0
2018-11-02;10.0;0
2018-11-03;12.0;0
2018-11-04;15.0;0
2018-11-05;19.0;0
2018-11-06;28.0;0
2018-11-07;32.0;0
2018-11-08;54.0;0
2018-11-09;23.0;0
2018-11-10;40.0;0
2018-11-11;34.0;0
2018-11-12;69.0;1
2018-11-13;80.0;1
2018-11-14;119.0;1
2018-11-15;141.0;1
2018-11-16;138.0;1
2018-11-17;98.0;1
2018-11-18;32.0;1
2018-11-19;38.0;0
2018-11-20;13.0;0
2018-11-21;81.0;0
2018-11-22;65.0;0
2018-11-23;62.0;0
2018-11-24;28.0;0
2018-11-25;15.0;0
2018-11-26;51.0;1
2018-11-27;98.0;1
2018-11-28;163.0;1
2018-11-29;101.0;1
2018-11-30;86.0;1
2018-12-01;90.0;1
2018-12-02;98.0;1
2018-12-03;129.0;0
2018-12-04;89.0;0
2018-12-05;88.0;0
2018-12-06;67.0;0
2018-12-07;58.0;0
2018-12-08;61.0;0
2018-12-09;26.0;0
2018-12-10;91.0;1
2018-12-11;147.0;1
2018-12-12;55.0;1
2018-12-13;16.0;1
2018-12-14;52.0;1
2018-12-15;44.0;1
2018-12-16;9.0;1
2018-12-17;95.0;1
2018-12-18;46.0;1
2018-12-19;46.0;1
2018-12-20;158.0;1
2018-12-21;309.0;1
2018-12-22;126.0;1
2018-12-23;86.0;1
2018-12-24;145.0;1
2018-12-25;83.0;1
2018-12-26;221.0;1
2018-12-27;135.0;1
2018-12-28;85.0;1
2018-12-29;44.0;1
2018-12-30;47.0;1
2018-12-31;92.92;1
2019-01-01;43.17;1
2019-01-02;10.0;1
2019-01-03;86.14;1
2019-01-04;151.0;1
2019-01-05;118.37;1
2019-01-06;77.0;1
2019-01-07;69.83;0
2019-01-08;98.67;0
2019-01-09;69.04;0
2019-01-10;44.21;0
2019-01-11;123.04;0
2019-01-12;37.96;0
2019-01-13;33.88;0
2019-01-14;40.25;0
2019-01-15;104.87;0
2019-01-16;54.67;0
2019-01-17;38.86;0
2019-01-18;38.62;0
2019-01-19;29.75;0
2019-01-20;6.21;0
2019-01-21;36.83;0
2019-01-22;18.35;0
2019-01-23;10.75;0
2019-01-24;12.92;0
2019-01-25;20.04;0
2019-01-26;31.58;0
2019-01-27;6.5;0
2019-01-28;14.17;0
2019-01-29;16.33;0
2019-01-30;57.3;0
2019-01-31;52.12;0
2019-02-01;15.58;0
2019-02-02;12.71;0
2019-02-03;26.67;0
2019-02-04;120.91;0
2019-02-05;83.12;0
2019-02-06;60.83;0
2019-02-07;44.62;0
2019-02-08;97.46;0
2019-02-09;58.12;0
2019-02-10;7.67;0
2019-02-11;28.54;1
2019-02-12;63.18;1
2019-02-13;96.17;1
2019-02-14;116.79;1
2019-02-15;170.41;1
2019-02-16;97.58;1
2019-02-17;37.5;1
2019-02-18;8.88;0
2019-02-19;49.25;0
2019-02-20;71.54;0
