date;BEN;zscore_BEN;svm_BEN;fda_BEN;CO;zscore_CO;svm_CO;fda_CO;MXIL;zscore_MXIL;svm_MXIL;fda_MXIL;NO2;zscore_NO2;svm_NO2;fda_NO2;NO;zscore_NO;svm_NO;fda_NO;O3;zscore_O3;svm_O3;fda_O3;PM2_5;zscore_PM2_5;svm_PM2_5;fda_PM2_5;SO2;zscore_SO2;svm_SO2;fda_SO2;TOL;zscore_TOL;svm_TOL;fda_TOL
2017-02-15;2.24;1;0;0;0.67;0;0;0;3.91;0;0;0;50.0;0;0;0;64.0;0;0;0;39.0;0;0;0;15.0;0;0;0;9.0;0;0;0;12.2;1;0;1
2017-02-16;1.18;0;0;0;0.52;0;0;0;3.08;0;0;0;52.0;0;0;0;63.0;0;0;0;42.0;0;0;0;18.0;0;0;0;10.0;0;0;0;6.36;0;0;1
2017-02-17;1.25;0;0;0;0.51;0;0;0;2.65;0;0;0;55.0;1;0;0;72.0;0;0;0;44.0;0;0;0;22.0;0;0;0;12.0;0;0;0;5.74;0;0;1
2017-02-18;1.68;0;0;0;0.49;0;0;0;1.87;0;0;0;49.0;0;0;0;37.0;0;0;0;40.0;0;0;0;20.0;0;0;0;12.0;0;0;0;4.82;0;0;1
2017-02-19;0.92;0;0;0;0.35;0;0;0;0.67;0;0;0;32.0;0;0;0;22.0;0;0;0;61.0;0;0;0;19.0;0;0;0;4.0;0;0;0;2.77;0;0;1
2017-02-20;0.85;0;0;0;0.5;0;0;0;1.05;0;0;0;45.0;0;0;0;45.0;0;0;0;42.0;0;0;0;25.0;0;0;0;43.0;1;1;1;4.3;0;0;0
2017-02-21;0.54;0;0;0;0.4;0;0;0;1.1;0;0;0;30.0;0;0;0;25.0;0;0;0;31.0;0;0;0;20.0;0;0;0;10.0;0;0;1;2.64;0;0;0
2017-02-22;0.37;0;0;0;0.28;0;0;0;0.69;0;0;0;27.0;0;0;0;11.0;0;0;0;22.0;0;0;0;24.0;0;0;0;6.0;0;0;1;2.37;0;0;0
2017-02-23;0.79;0;0;0;0.35;0;0;0;0.95;0;0;0;38.0;0;0;0;24.0;0;0;0;9.0;0;0;0;21.0;0;0;0;6.0;0;0;1;3.04;0;0;0
2017-02-24;0.32;0;0;0;0.23;0;0;0;0.42;0;0;0;31.0;0;0;0;14.0;0;0;0;41.0;0;0;0;10.0;0;0;0;4.0;0;0;1;1.65;0;0;0
